site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
WQS0123,2025-06-18 14:05:00-05,0.73,0.05,0.07,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 14:07:00-05,9.2,0.32,1.25,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 14:12:00-05,9.17,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 14:28:00-05,9.07,0.32,1.25,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 14:47:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:10:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:15:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:20:00-05,9.04,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:25:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:30:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:35:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:40:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:45:00-05,9.04,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:50:00-05,9.04,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 15:55:00-05,9.03,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:00:00-05,9.03,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:05:00-05,9.03,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:10:00-05,9.03,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:15:00-05,9.03,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:20:00-05,9.03,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:25:00-05,9.03,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:30:00-05,9.02,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:35:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:40:00-05,9.02,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:45:00-05,9.02,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:50:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 16:55:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:00:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:05:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:10:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:15:00-05,9.02,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:20:00-05,9.01,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:25:00-05,9.01,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:30:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:35:00-05,9.01,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:40:00-05,8.99,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:45:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:50:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 17:55:00-05,9.01,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:00:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:05:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:10:00-05,8.99,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:15:00-05,8.99,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:20:00-05,8.99,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:25:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:30:00-05,9.0,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:35:00-05,9.0,0.31,1.22,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:40:00-05,8.99,0.31,1.24,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:45:00-05,8.99,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:50:00-05,8.98,0.31,1.23,,,,,,,,,,,,,,,,,,,,
WQS0123,2025-07-15 18:55:00-05,8.98,0.3,1.23,,,,,,,,,,,,,,,,,,,,
