datetime,site_uid,temp_water,nitrate_con,discharge,stage
2012-05-09 05:00:00+00:00,USGS-05455100,,,238.0,3.87
2012-05-09 05:15:00+00:00,USGS-05455100,,,238.0,3.87
2012-05-09 05:30:00+00:00,USGS-05455100,,,236.0,3.86
2012-05-09 05:45:00+00:00,USGS-05455100,,,236.0,3.86
2012-05-09 06:00:00+00:00,USGS-05455100,,,235.0,3.85
2012-05-09 06:15:00+00:00,USGS-05455100,,,235.0,3.85
2012-05-09 06:30:00+00:00,USGS-05455100,,,235.0,3.85
2012-05-09 06:45:00+00:00,USGS-05455100,,,235.0,3.85
2012-05-09 07:00:00+00:00,USGS-05455100,,,234.0,3.84
2012-05-09 07:15:00+00:00,USGS-05455100,,,234.0,3.84
2012-05-09 07:30:00+00:00,USGS-05455100,,,234.0,3.84
2012-05-09 07:45:00+00:00,USGS-05455100,,,232.0,3.83
2012-05-09 08:00:00+00:00,USGS-05455100,,,232.0,3.83
2012-05-09 08:15:00+00:00,USGS-05455100,,,231.0,3.82
2012-05-09 08:30:00+00:00,USGS-05455100,,,231.0,3.82
2012-05-09 08:45:00+00:00,USGS-05455100,,,231.0,3.82
2012-05-09 09:00:00+00:00,USGS-05455100,,,231.0,3.82
2012-05-09 09:15:00+00:00,USGS-05455100,,,231.0,3.82
2012-05-09 09:30:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 09:45:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 10:00:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 10:15:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 10:30:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 10:45:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 11:00:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 11:15:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 11:30:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 11:45:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 12:00:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 12:15:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 12:30:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 12:45:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 13:00:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 13:15:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 13:30:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 13:45:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 14:00:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 14:15:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 14:30:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 14:45:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 15:00:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 15:15:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 15:30:00+00:00,USGS-05455100,,,223.0,3.76
2012-05-09 15:45:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 16:00:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 16:15:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 16:30:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 16:45:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 17:00:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 17:15:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 17:30:00+00:00,USGS-05455100,,,230.0,3.81
2012-05-09 17:45:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 18:00:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 18:15:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 18:30:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 18:45:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 19:00:00+00:00,USGS-05455100,,,229.0,3.8
2012-05-09 19:15:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 19:30:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 19:45:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 20:00:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 20:15:00+00:00,USGS-05455100,,,227.0,3.79
2012-05-09 20:30:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 20:45:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 21:00:00+00:00,USGS-05455100,,,226.0,3.78
2012-05-09 21:15:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 21:30:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 21:45:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 22:00:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 22:15:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 22:30:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 22:45:00+00:00,USGS-05455100,,,225.0,3.77
2012-05-09 23:00:00+00:00,USGS-05455100,,,223.0,3.76
2012-05-09 23:15:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-09 23:30:00+00:00,USGS-05455100,,,223.0,3.76
2012-05-09 23:45:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 00:00:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 00:15:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 00:30:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 00:45:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 01:00:00+00:00,USGS-05455100,,,222.0,3.75
2012-05-10 01:15:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 01:30:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 01:45:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 02:00:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 02:15:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 02:30:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 02:45:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 03:00:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 03:15:00+00:00,USGS-05455100,,,221.0,3.74
2012-05-10 03:30:00+00:00,USGS-05455100,,,219.0,3.73
2012-05-10 03:45:00+00:00,USGS-05455100,,,219.0,3.73
2012-05-10 04:00:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 04:15:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 04:30:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 04:45:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 05:00:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 05:15:00+00:00,USGS-05455100,,,218.0,3.72
2012-05-10 05:30:00+00:00,USGS-05455100,,,217.0,3.71
2012-05-10 05:45:00+00:00,USGS-05455100,,,217.0,3.71
2012-05-10 06:00:00+00:00,USGS-05455100,,,217.0,3.71
2012-05-10 06:15:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 06:30:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 06:45:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 07:00:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 07:15:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 07:30:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 07:45:00+00:00,USGS-05455100,,,214.0,3.69
2012-05-10 08:00:00+00:00,USGS-05455100,,,214.0,3.69
2012-05-10 08:15:00+00:00,USGS-05455100,,,216.0,3.7
2012-05-10 08:30:00+00:00,USGS-05455100,,,214.0,3.69
2012-05-10 08:45:00+00:00,USGS-05455100,,,214.0,3.69
2012-05-10 09:00:00+00:00,USGS-05455100,,,214.0,3.69
2012-05-10 09:15:00+00:00,USGS-05455100,,,213.0,3.68
2012-05-10 09:30:00+00:00,USGS-05455100,,,213.0,3.68
2012-05-10 09:45:00+00:00,USGS-05455100,,,213.0,3.68
2012-05-10 10:00:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 10:15:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 10:30:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 10:45:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 11:00:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 11:15:00+00:00,USGS-05455100,,,212.0,3.67
2012-05-10 11:30:00+00:00,USGS-05455100,,,210.0,3.66
2012-05-10 11:45:00+00:00,USGS-05455100,,,210.0,3.66
2012-05-10 12:00:00+00:00,USGS-05455100,,,210.0,3.66
2012-05-10 12:15:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 12:30:00+00:00,USGS-05455100,,,210.0,3.66
2012-05-10 12:45:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 13:00:00+00:00,USGS-05455100,,,210.0,3.66
2012-05-10 13:15:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 13:30:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 13:45:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 14:00:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 14:15:00+00:00,USGS-05455100,,,208.0,3.64
2012-05-10 14:30:00+00:00,USGS-05455100,,,209.0,3.65
2012-05-10 14:45:00+00:00,USGS-05455100,,,208.0,3.64
2012-05-10 15:00:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 15:15:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 15:30:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 15:45:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 16:00:00+00:00,USGS-05455100,,,208.0,3.64
2012-05-10 16:15:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 16:30:00+00:00,USGS-05455100,,,207.0,3.63
2012-05-10 16:45:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 17:00:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 17:15:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 17:30:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 17:45:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 18:00:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 18:15:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 18:30:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 18:45:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 19:00:00+00:00,USGS-05455100,,,205.0,3.62
2012-05-10 19:15:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 19:30:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 19:45:00+00:00,USGS-05455100,,,203.0,3.6
2012-05-10 20:00:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 20:15:00+00:00,USGS-05455100,,,204.0,3.61
2012-05-10 20:30:00+00:00,USGS-05455100,,,203.0,3.6
2012-05-10 20:45:00+00:00,USGS-05455100,,,203.0,3.6
2012-05-10 21:00:00+00:00,USGS-05455100,,,203.0,3.6
2012-05-10 21:15:00+00:00,USGS-05455100,,,203.0,3.6
