datetime,site_uid,nitrate_con,discharge
2013-06-14 05:00:00+00:00,USGS-05480603,31.2,33.7
2013-06-14 05:15:00+00:00,USGS-05480603,31.2,33.8
2013-06-14 05:30:00+00:00,USGS-05480603,31.2,33.9
2013-06-14 05:45:00+00:00,USGS-05480603,31.2,33.7
2013-06-14 06:00:00+00:00,USGS-05480603,31.2,34.0
2013-06-14 06:15:00+00:00,USGS-05480603,31.2,33.7
2013-06-14 06:30:00+00:00,USGS-05480603,31.3,34.2
2013-06-14 06:45:00+00:00,USGS-05480603,31.3,34.1
2013-06-14 07:00:00+00:00,USGS-05480603,31.3,33.8
2013-06-14 07:15:00+00:00,USGS-05480603,31.3,34.1
2013-06-14 07:30:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 07:45:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 08:00:00+00:00,USGS-05480603,31.3,33.8
2013-06-14 08:15:00+00:00,USGS-05480603,31.3,34.1
2013-06-14 08:30:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 08:45:00+00:00,USGS-05480603,31.3,34.1
2013-06-14 09:00:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 09:15:00+00:00,USGS-05480603,31.3,33.7
2013-06-14 09:30:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 09:45:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 10:00:00+00:00,USGS-05480603,31.3,33.8
2013-06-14 10:15:00+00:00,USGS-05480603,31.3,33.7
2013-06-14 10:30:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 10:45:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 11:00:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 11:15:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 11:30:00+00:00,USGS-05480603,31.3,34.0
2013-06-14 11:45:00+00:00,USGS-05480603,31.3,33.9
2013-06-14 12:00:00+00:00,USGS-05480603,31.2,33.8
2013-06-14 12:15:00+00:00,USGS-05480603,31.2,33.8
2013-06-14 12:30:00+00:00,USGS-05480603,31.1,33.6
2013-06-14 12:45:00+00:00,USGS-05480603,31.1,33.6
2013-06-14 13:00:00+00:00,USGS-05480603,31.2,33.6
2013-06-14 13:15:00+00:00,USGS-05480603,31.2,33.6
2013-06-14 13:30:00+00:00,USGS-05480603,31.2,33.5
2013-06-14 13:45:00+00:00,USGS-05480603,31.2,33.3
2013-06-14 14:00:00+00:00,USGS-05480603,31.2,33.2
2013-06-14 14:15:00+00:00,USGS-05480603,31.2,33.3
2013-06-14 14:30:00+00:00,USGS-05480603,31.3,33.2
2013-06-14 14:45:00+00:00,USGS-05480603,31.3,33.2
2013-06-14 15:00:00+00:00,USGS-05480603,31.3,33.1
