site_uid,datetime,nitrate_con,r_exc,m_exc,temp_water,ph,spec_cond,diss_oxy_con,diss_oxy_sat,chloro_v,chloro_con,turbi_mean,turbi_var,turbi_med,turbi_bes,turbi_min,turbi_max,dts_temp_water,phosphate_con,ph_v2,spec_cond_v2,diss_oxy_con_v2,diss_oxy_sat_v2,turbi_mean_v2
WQS0055,2016-10-12 15:40:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2016-10-12 15:45:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 14:50:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 14:55:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 15:00:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 15:15:00-05,,,,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 15:30:00-05,19.98,0.29,1.25,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 15:45:00-05,19.98,0.29,1.25,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 16:00:00-05,19.99,0.29,1.25,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 16:15:00-05,19.99,0.29,1.25,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 16:30:00-05,19.98,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 16:45:00-05,19.98,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 17:00:00-05,19.97,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 17:15:00-05,19.97,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 17:30:00-05,19.97,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 17:45:00-05,19.97,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 18:00:00-05,19.96,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 18:15:00-05,19.96,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 18:30:00-05,19.98,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 18:45:00-05,19.98,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 19:00:00-05,19.95,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 19:15:00-05,19.95,0.28,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 19:30:00-05,19.97,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 19:45:00-05,19.97,0.29,1.24,,,,,,,,,,,,,,,,,,,,
WQS0055,2017-05-04 20:00:00-05,19.97,0.28,1.24,,,,,,,,,,,,,,,,,,,,
