GEOID,ALAND,AWATER,farm_acre_as_percent,crop_acre_as_percent,area_land_km2,area_water_km2,farm_area_km2,crop_area_km2
31039,1477641638,10701538,99.5,90.42,1477.641638,10.701538,1470.25342981,1336.0835690796
53069,680956787,61588406,8.2,3.06,680.956787,61.588406,55.83845653399999,20.8372776822
35011,6016761648,29147345,79.5,0.68,6016.761648,29.147345,4783.32551016,40.9139792064
31109,2169252486,22867561,78.9,67.71,2169.252486,22.867561,1711.5402114540002,1468.8008582705997
31129,1489645186,1718484,97.1,67.56,1489.645186,1.718484,1446.4454756059997,1006.4042876615999
46099,2089691696,18198505,72.6,61.58,2089.691696,18.198505,1517.1161712959997,1286.8321463968
48327,2336237920,613559,87.9,1.83,2336.23792,0.613559,2053.55313168,42.753153936
06091,2468694586,23299110,9.3,0.61,2468.694586,23.29911,229.58859649800002,15.059036974600001
21053,510864294,21164151,51.6,18.86,510.864294,21.164151,263.605975704,96.3490058484
39063,1376210232,5959837,70.6,66.67,1376.210232,5.959837,971.6044237919999,917.5193616744
48189,2602109431,246678,90.8,71.38,2602.109431,0.246678,2362.7153633479998,1857.3857118478
01027,1564253513,5283523,18.4,3.16,1564.253513,5.283523,287.82264639199997,49.43041101080001
48011,2354581675,12219587,76.1,18.17,2354.581675,12.219587,1791.8366546749999,427.8274903475
39003,1042470095,11266164,72.4,67.04,1042.470095,11.266164,754.7483487799999,698.871951688
13189,666813913,23119020,26.5,6.65,666.813913,23.11902,176.70568694499997,44.3431252145
55111,2153665639,45713371,56.2,37.16,2153.665639,45.713371,1210.3600891180001,800.3021514523998
05137,1570579424,7841928,41.1,8.05,1570.579424,7.841928,645.5081432640001,126.43164363200002
41063,8147836572,14191789,25.8,4.7,8147.836572,14.191789,2102.141835576,382.94831888400006
42007,1125901161,24165972,19.3,10.81,1125.901161,24.165972,217.29892407300002,121.70991550410001
28061,1751451429,3181592,25.7,3.49,1751.451429,3.181592,450.123017253,61.1256548721
29083,1805075858,91636450,85.6,47.84,1805.075858,91.63645,1545.1449344479997,863.5482904672
