"Gravelly"|"165023577"|"48887256"
"Gravelly"|"165023580"|"48887257"
"Gravelly"|"165023583"|"48887258"
"Very gravelly"|"165023584"|"48887259"
"Very gravelly"|"165023585"|"48887260"
"Gravelly"|"165024041"|"48886174"
"Gravelly"|"165024042"|"48886173"
"Gravelly"|"165024043"|"48886172"
"Gravelly"|"165024044"|"48886171"
"Gravelly"|"165024092"|"48886178"
"Gravelly"|"165024093"|"48886177"
"Gravelly"|"165024094"|"48886176"
"Gravelly"|"165024095"|"48886175"
"Gravelly"|"165024429"|"48886401"
|"165024769"|"48887253"
"Very gravelly"|"165024773"|"48887254"
"Very gravelly"|"165024777"|"48887255"
"Gravelly"|"165024788"|"48887250"
"Gravelly"|"165024791"|"48887248"
"Gravelly"|"165024794"|"48887249"
"Very gravelly"|"165024797"|"48887252"
"Very gravelly"|"165024798"|"48887251"
"Gravelly"|"165024803"|"48886540"
"Very gravelly"|"165024806"|"48886248"
"Very gravelly"|"165024807"|"48886247"
"Very gravelly"|"165024808"|"48886246"
"Extremely gravelly"|"165024809"|"48886249"
"Very gravelly"|"165024810"|"48886250"
"Extremely gravelly"|"165024830"|"48886254"
"Very gravelly"|"165024831"|"48886255"
"Very gravelly"|"165024832"|"48886253"
"Very gravelly"|"165024833"|"48886252"
"Very gravelly"|"165024834"|"48886251"
"Gravelly"|"165024837"|"48886199"
"Very gravelly"|"165024838"|"48886202"
"Very gravelly"|"165024839"|"48886203"
"Gravelly"|"165024845"|"48886201"
"Gravelly"|"165024848"|"48886200"
"Gravelly"|"165024866"|"48886206"
"Very gravelly"|"165024867"|"48886207"
"Very gravelly"|"165024868"|"48886208"
"Gravelly"|"165024874"|"48886204"
"Gravelly"|"165024877"|"48886205"
"Gravelly"|"165024878"|"48886541"
"Very gravelly"|"165024881"|"48886256"
"Extremely gravelly"|"165024882"|"48886259"
"Very gravelly"|"165024883"|"48886260"
"Very gravelly"|"165024884"|"48886258"
"Very gravelly"|"165024885"|"48886257"
"Gravelly"|"165024904"|"48886209"
"Gravelly"|"165024907"|"48886210"
"Gravelly"|"165024910"|"48886211"
"Very gravelly"|"165024911"|"48886212"
"Very gravelly"|"165024912"|"48886213"
"Gravelly"|"165024922"|"48886542"
"Extremely gravelly"|"165024925"|"48886264"
"Very gravelly"|"165024926"|"48886265"
"Very gravelly"|"165024927"|"48886263"
"Very gravelly"|"165024928"|"48886262"
"Very gravelly"|"165024929"|"48886261"
"Gravelly"|"165024945"|"48886234"
"Gravelly"|"165024946"|"48886235"
"Gravelly"|"165024947"|"48886236"
"Very gravelly"|"165024948"|"48886237"
"Gravelly"|"165024949"|"48886543"
"Extremely gravelly"|"165024952"|"48886269"
"Very gravelly"|"165024953"|"48886270"
"Very gravelly"|"165024954"|"48886268"
"Very gravelly"|"165024955"|"48886267"
"Very gravelly"|"165024956"|"48886266"
"Gravelly"|"165024960"|"48886216"
"Gravelly"|"165024963"|"48886215"
"Gravelly"|"165024966"|"48886214"
"Very gravelly"|"165024967"|"48886217"
"Very gravelly"|"165024968"|"48886218"
"Gravelly"|"165025204"|"48886544"
"Gravelly"|"165025211"|"48886545"
"Extremely gravelly"|"165025258"|"48886274"
"Very gravelly"|"165025259"|"48886275"
"Very gravelly"|"165025260"|"48886273"
"Very gravelly"|"165025261"|"48886272"
"Very gravelly"|"165025262"|"48886271"
"Gravelly"|"165025286"|"48886180"
"Gravelly"|"165025287"|"48886179"
"Gravelly"|"165025288"|"48886182"
"Gravelly"|"165025289"|"48886181"
"Very gravelly"|"165025290"|"48886276"
"Very gravelly"|"165025291"|"48886277"
"Very gravelly"|"165025292"|"48886278"
"Extremely gravelly"|"165025293"|"48886279"
